iris_offset_left,iris_offset_right,iris_offset_top,iris_offset_bottom,label
0.379,0.321,0.754,0.069,down
0.355,0.385,0.884,0.138,down
0.387,0.374,0.774,0.105,down
0.336,0.333,0.788,0.124,down
0.324,0.351,0.858,0.149,down
0.356,0.394,0.716,0.11,down
0.306,0.39,0.856,0.103,down
0.387,0.386,0.782,0.136,down
0.335,0.385,0.816,0.136,down
0.308,0.353,0.784,0.111,down
0.334,0.345,0.804,0.066,down
0.363,0.325,0.875,0.148,down
0.393,0.361,0.763,0.072,down
0.34,0.346,0.752,0.051,down
0.339,0.33,0.835,0.05,down
0.377,0.34,0.777,0.07,down
0.384,0.331,0.744,0.066,down
0.343,0.324,0.839,0.07,down
0.332,0.345,0.833,0.134,down
0.305,0.312,0.741,0.109,down
0.46,0.454,0.445,0.48,center
0.478,0.482,0.403,0.428,center
0.422,0.473,0.454,0.474,center
0.452,0.483,0.467,0.46,center
0.425,0.486,0.451,0.458,center
0.482,0.437,0.411,0.455,center
0.479,0.408,0.496,0.432,center
0.462,0.496,0.421,0.485,center
0.421,0.456,0.478,0.428,center
0.426,0.446,0.482,0.478,center
0.456,0.434,0.441,0.473,center
0.431,0.485,0.486,0.445,center
0.458,0.455,0.448,0.421,center
0.477,0.473,0.445,0.401,center
0.413,0.488,0.47,0.452,center
0.478,0.423,0.43,0.445,center
0.476,0.445,0.482,0.417,center
0.468,0.412,0.46,0.444,center
0.446,0.485,0.439,0.443,center
0.462,0.418,0.498,0.479,center
0.423,0.454,0.43,0.429,center
0.499,0.48,0.447,0.468,center
0.441,0.45,0.419,0.498,center
0.484,0.428,0.447,0.416,center
0.417,0.494,0.428,0.445,center
0.47,0.462,0.428,0.437,center
0.457,0.474,0.437,0.423,center
0.475,0.401,0.497,0.405,center
0.484,0.485,0.453,0.489,center
0.492,0.497,0.493,0.406,center
0.483,0.443,0.404,0.476,center
0.489,0.465,0.462,0.476,center
0.459,0.43,0.4,0.494,center
0.494,0.497,0.474,0.461,center
0.448,0.418,0.447,0.406,center
0.408,0.492,0.421,0.485,center
0.451,0.428,0.408,0.42,center
0.425,0.491,0.429,0.494,center
0.496,0.465,0.456,0.426,center
0.465,0.492,0.422,0.468,center
0.463,0.487,0.422,0.467,center
0.491,0.485,0.413,0.491,center
0.46,0.452,0.438,0.401,center
0.41,0.416,0.41,0.492,center
0.46,0.456,0.471,0.49,center
0.408,0.422,0.429,0.493,center
0.463,0.486,0.466,0.468,center
0.434,0.484,0.423,0.474,center
0.42,0.444,0.407,0.465,center
0.411,0.493,0.475,0.455,center
